,method_name,coverage
56,.equals(,0.0010157333299616045
71,.kurtosis(,0.0010030893466010866
225,.to_records(,0.000939869429798497
345,.searchsorted(,0.0009230107853178065
72,.swapaxes(,0.0009103668019572886
102,.read_sql_table(,0.0008429322240345265
104,.eq(,0.0008218589184336634
258,.prod(,0.0008092149350731455
5,.to_pydatetime(,0.0007544243405109012
165,.combine(,0.0007502096793907286
339,.kurt(,0.0007459950182705559
125,.json_normalize(,0.0007417803571503833
124,.autocorr(,0.0007038484070688297
45,.to_clipboard(,0.0007038484070688297
88,.align(,0.0006869897625881391
303,.add_suffix(,0.0006827751014679665
13,.symmetric_difference(,0.000653272473626758
151,.isocalendar(,0.0006321991680258949
69,.nsmallest(,0.000619555184665377
196,.memory_usage(,0.0006069112013048591
179,.bfill(,0.0006026965401846865
319,.between(,0.0005900525568241686
52,.rename_axis(,0.000573193912343478
175,.set_categories(,0.0005605499289829601
182,.lookup(,0.0005226179789014064
331,.between_time(,0.0005057593344207159
159,.asof(,0.0004804713676996801
99,.expanding(,0.0004509687398584717
0,.to_numpy(,0.0004425394176181264
48,.rename_categories(,0.0004298954342576085
200,.pad(,0.00042146611201726326
118,.reorder_levels(,0.00037089017857519166
291,.read_gbq(,0.00035403153409450114
318,.mask(,0.0003287435673734653
261,.empty(,0.00032031424513312006
163,.ewm(,0.00028238229505156637
135,.get_indexer(,0.00027816763393139377
134,.set_names(,0.0002739529728112211
31,.first_valid_index(,0.00025287966721035794
323,.at_time(,0.0002444503449700127
167,.last_valid_index(,0.0002444503449700127
206,.compare(,0.00021494771712880426
127,.mad(,0.00021073305600863163
207,.merge_ordered(,0.00020230373376828637
305,.tshift(,0.00019808907264811374
264,.autocorrelation_plot(,0.00019387441152794109
243,.bdate_range(,0.00018544508928759583
267,.to_stata(,0.00017701576704725057
128,.reorder_categories(,0.00017280110592707794
90,.cummax(,0.00017280110592707794
220,.read_sas(,0.00017280110592707794
36,.reindex_like(,0.00016437178368673266
302,.as_ordered(,0.00015172780032621477
268,.timedelta_range(,0.00015172780032621477
145,.is_integer(,0.00013486915584552423
226,.show_versions(,0.00013486915584552423
192,.gt(,0.0001306544947253516
26,.bool(,0.0001306544947253516
154,.mod(,0.0001306544947253516
157,.to_list(,0.0001306544947253516
311,.to_dense(,0.00011801051136483371
283,.lt(,0.00011379585024466107
260,.set_levels(,0.00011379585024466107
285,.add_categories(,9.693720576397054e-05
259,.cummin(,9.693720576397054e-05
153,.remove_unused_categories(,9.272254464379791e-05
115,.set_eng_float_format(,8.429322240345266e-05
274,.isna(,7.586390016310739e-05
235,.set_axis(,6.743457792276211e-05
77,.remove_categories(,6.743457792276211e-05
117,.to_julian_date(,6.321991680258949e-05
17,.wide_to_long(,5.900525568241686e-05
296,.merge_asof(,5.900525568241686e-05
216,.ge(,5.479059456224422e-05
1,.read_parquet(,5.057593344207159e-05
191,.radviz(,5.057593344207159e-05
188,.explode(,5.057593344207159e-05
146,.to_xarray(,5.057593344207159e-05
263,.set_flags(,4.636127232189896e-05
245,.ne(,4.636127232189896e-05
202,.indexer_between_time(,4.636127232189896e-05
60,.parallel_coordinates(,4.214661120172633e-05
229,.is_lexsorted(,4.214661120172633e-05
51,.floordiv(,3.793195008155369e-05
187,.to_gbq(,3.371728896138106e-05
74,.le(,2.5287966721035796e-05
35,.snap(,2.5287966721035796e-05
233,.to_parquet(,2.1073305600863164e-05
217,.overlaps(,2.1073305600863164e-05
75,.to_native_types(,2.1073305600863164e-05
171,.slice_indexer(,2.1073305600863164e-05
19,.to_feather(,1.685864448069053e-05
185,.rsub(,1.685864448069053e-05
63,.truediv(,1.685864448069053e-05
3,.from_frame(,1.2643983360517898e-05
89,.to_pytimedelta(,1.2643983360517898e-05
299,.radd(,1.2643983360517898e-05
321,.read_feather(,1.2643983360517898e-05
183,.rmul(,1.2643983360517898e-05
186,.hist_frame(,8.429322240345264e-06
320,.rpow(,8.429322240345264e-06
7,.andrews_curves(,8.429322240345264e-06
309,.get_indexer_for(,8.429322240345264e-06
310,.is_mixed(,8.429322240345264e-06
247,.read_spss(,8.429322240345264e-06
23,.infer_freq(,8.429322240345264e-06
79,.take_nd(,4.214661120172632e-06
343,.as_unordered(,4.214661120172632e-06
275,.backfill(,4.214661120172632e-06
92,.lag_plot(,4.214661120172632e-06
329,.union_many(,4.214661120172632e-06
25,.is_(,4.214661120172632e-06
228,.get_indexer_non_unique(,4.214661120172632e-06
272,.identical(,4.214661120172632e-06
164,.lreshape(,4.214661120172632e-06
287,.notna(,0.0
195,.is_object(,0.0
194,.indexer_at_time(,0.0
193,.to_markdown(,0.0
256,.slice_locs(,0.0
262,.hist_series(,0.0
278,.register_matplotlib_converters(,0.0
38,.read_orc(,0.0
280,.set_codes(,0.0
281,.check_for_ordered(,0.0
286,.interval_range(,0.0
290,.slice_shift(,0.0
32,.is_dtype_equal(,0.0
176,.month_name(,0.0
30,.get_loc_level(,0.0
173,.holds_integer(,0.0
298,.rmod(,0.0
172,.deregister_matplotlib_converters(,0.0
170,.is_categorical(,0.0
210,.to_flat_index(,0.0
84,.to_tuples(,0.0
67,.is_interval(,0.0
65,.read_xml(,0.0
18,.rdivmod(,0.0
198,.set_closed(,0.0
246,.bootstrap_plot(,0.0
20,.set_ordered(,0.0
122,.putmask(,0.0
96,.is_floating(,0.0
85,.boxplot_frame_groupby(,0.0
16,.get_slice_bound(,0.0
15,.to_xml(,0.0
330,.day_name(,0.0
155,.is_numeric(,0.0
332,.rfloordiv(,0.0
144,.asof_locs(,0.0
214,.rtruediv(,0.0
340,.is_boolean(,0.0
344,.equal_levels(,0.0
131,.rdiv(,0.0
133,.boxplot_frame(,0.0
9,.infer_objects(,0.0
93,.is_type_compatible(,0.0
160,.remove_unused_levels(,0.0
162,.convert_dtypes(,0.0
70,.to_perioddelta(,0.0
199,.divmod(,0.0
215,.get_locs(,0.0
