,method_name,count
288,.get_loc(,1549
289,.eval(,5495
290,.slice_shift(,0
291,.read_gbq(,188
292,.mul(,706
293,.drop_duplicates(,13436
294,.tz_convert(,709
295,.tolist(,35897
296,.merge_asof(,28
297,.corr(,11574
298,.rmod(,0
299,.radd(,3
300,.squeeze(,1222
301,.xs(,2913
302,.as_ordered(,37
303,.add_suffix(,303
304,.droplevel(,800
305,.tshift(,82
306,.read_clipboard(,513
307,.pipe(,687
308,.to_frame(,4085
309,.get_indexer_for(,10
310,.is_mixed(,4
311,.to_dense(,177
312,.combine_first(,691
313,.argmax(,7165
314,.last(,884
315,.fillna(,40008
316,.qcut(,1609
317,.sortlevel(,829
318,.mask(,168
319,.between(,352
320,.rpow(,2
321,.read_feather(,4
322,.where(,3689
323,.at_time(,73
324,.set_index(,35723
325,.read_csv(,294494
326,.dropna(,40126
327,.groupby(,130897
328,.update(,14197
329,.union_many(,1
330,.day_name(,0
331,.between_time(,241
332,.rfloordiv(,0
333,.pct_change(,1619
334,.rename(,39268
335,.apply(,78898
336,.isin(,16259
337,.to_pickle(,4710
338,.to_hdf(,1042
339,.kurt(,289
340,.is_boolean(,0
341,.date_range(,10328
342,.nunique(,2692
343,.as_unordered(,1
344,.equal_levels(,0
345,.searchsorted(,727
346,.to_json(,7537
347,.normalize(,1828
348,.idxmax(,2314
